id,name,url,descr,logo,mood
1,Jack Rocks Live,http://radio12.pro-fhi.net/radio/9174/stream,- France -,https://www.radio.net/images/broadcasts/3e/b5/32281/1/c300.png,ornery
2,KBBN The Thunderbird 95.3 FM,http://crystalout.surfernetwork.com:8001/KBBN_MP3,- Classic Rock - Broken Bow  NE  USA - ,https://www.radio.net/images/broadcasts/3e/fe/26039/c300.png,ornery
3,RADIO BOB!,http://streams.radiobob.de/bob-alternative/mp3-192/vtuner/,- Kassel Germany - ,https://www.radio.net/images/broadcasts/cf/8d/4917/2/c300.png,ornery
4,Zappa Stream Radio,http://streams.norbert.de:8000/zappa.aac,- Rock - Progressive Rock USA -WRPI 91.5 FM Troy,https://cdn-radiotime-logos.tunein.com/s28390d.png,ornery
5,WQLZ 97.7 FM,http://crystalout.surfernetwork.com:8001/WQLZ-FM_MP3,- Real Rock 97.7 QLZ - Petersburg  IL  USA - ,https://cdn-profiles.tunein.com/s24282/images/logod.png?t=1,ornery
6,WZUU 92.5 FM,http://crystalout.surfernetwork.com:8001/WZUU_MP3,- Rock 92.5 The ZUU - Mattawan  MI  USA - ,https://cdn-radiotime-logos.tunein.com/s24443d.png,ornery
7,WZXL 100.7 FM,http://crystalout.surfernetwork.com:8001/WZXL_MP3,- South Jersey's Rock Station - Wildwood  NJ  USA - ,https://cdn-radiotime-logos.tunein.com/s24451d.png,ornery
8,Soma - Underground 80's,http://ice4.somafm.com/u80s-256-mp3,Early 80s UK Synthpop and a bit of New Wave.,https://somafm.com/img3/u80s-400.png,ornery
9,Soma – Bagel Radio,http://ice2.somafm.com/bagel-128-mp3,What alternative rock radio should sound like.,https://somafm.com/img3/bagel-400.png,ornery
10,Soma - Indie Pop Rocks,http://ice2.somafm.com/indiepop-128-mp3,New and classic favorite indie pop tracks.,https://somafm.com/img3/indiepop-400.jpg,ornery
11,Aardvark Blues FM,http://edge4.peta.live365.net/b77280_128mp3,- United States -,https://www.radio.net/images/broadcasts/f0/66/17858/c300.png,ornery
